"EV experience group ID","EV experience Groups","Survey","Percentage of Survey"
1,"Electric car",96,0.189723320158103
2,"Hybrid car: Pure hybrid",77,0.152173913043478
3,"Hybrid car: Plug-in hybrid",51,0.100790513833992
4,"Hybrid car: Range Extender vehicle",31,0.0612648221343874
5,"Electric motorcycle",29,0.0573122529644269
6,"Electric bicycle",73,0.144268774703557
7,"Electric scooter",40,0.0790513833992095
8,"Other",13,0.0256916996047431
9,"None",87,0.171936758893281
10,"Don't know",9,0.0177865612648221
