"Transport spending group ID","Transport spending groups","Public transport","Car","Survey","Percentage of Survey"
1,"100 CHF or less",NA,NA,26,0.00937274693583273
2,"101 to 200 CHF",NA,NA,27,0.00973323720259553
3,"201 to 300 CHF",NA,NA,12,0.00432588320115357
4,"301 to 400 CHF",NA,NA,28,0.0100937274693583
5,"401 to 500 CHF",NA,NA,19,0.00684931506849315
6,"501 to 600 CHF",NA,NA,32,0.0115356885364095
7,"601 to 700 CHF",NA,NA,11,0.00396539293439077
8,"701 to 800 CHF",NA,NA,25,0.00901225666906993
9,"801 to 900 CHF",NA,NA,14,0.00504686373467916
10,"901 to 1'000 CHF",NA,NA,28,0.0100937274693583
11,"1'001 to 1'100 CHF",NA,NA,37,0.0133381398702235
12,"1'101 to 1'200 CHF",NA,NA,42,0.0151405912040375
13,"1'201 to 1'300 CHF",NA,NA,26,0.00937274693583273
14,"1'301 to 1'400 CHF",NA,NA,27,0.00973323720259553
15,"1'401 to 1'500 CHF",NA,NA,12,0.00432588320115357
16,"1'501 to 1'600 CHF",NA,NA,28,0.0100937274693583
17,"1'601 to 1'700 CHF",NA,NA,19,0.00684931506849315
18,"1'701 to 1'800 CHF",NA,NA,32,0.0115356885364095
19,"1'801 to 1'900 CHF",NA,NA,11,0.00396539293439077
20,"1'901 to 2'000 CHF",NA,NA,25,0.00901225666906993
21,"2'001 to 2'100 CHF",NA,NA,14,0.00504686373467916
22,"2'101 to 2'200 CHF",NA,NA,28,0.0100937274693583
23,"2'201 to 2'300 CHF",NA,NA,37,0.0133381398702235
24,"2'301 to 2'400 CHF",NA,NA,42,0.0151405912040375
25,"2'401 to 2'500 CHF",NA,NA,26,0.00937274693583273
26,"2'501 to 2'600 CHF",NA,NA,27,0.00973323720259553
27,"2'601 to 2'700 CHF",NA,NA,12,0.00432588320115357
28,"2'701 to 2'800 CHF",NA,NA,28,0.0100937274693583
29,"2'801 to 2'900 CHF",NA,NA,19,0.00684931506849315
30,"2'901 to 3'000 CHF",NA,NA,32,0.0115356885364095
31,"3'001 to 3'100 CHF",NA,NA,11,0.00396539293439077
32,"3'101 to 3'200 CHF",NA,NA,25,0.00901225666906993
33,"3'201 to 3'300 CHF",NA,NA,14,0.00504686373467916
34,"3'301 to 3'400 CHF",NA,NA,28,0.0100937274693583
35,"3'401 to 3'500 CHF",NA,NA,37,0.0133381398702235
36,"3'501 to 3'600 CHF",NA,NA,42,0.0151405912040375
37,"3'601 to 3'700 CHF",NA,NA,26,0.00937274693583273
38,"3'701 to 3'800 CHF",NA,NA,27,0.00973323720259553
39,"3'801 to 3'900 CHF",NA,NA,12,0.00432588320115357
40,"3'901 to 4'000 CHF",NA,NA,28,0.0100937274693583
41,"4'001 to 4'100 CHF",NA,NA,19,0.00684931506849315
42,"4'101 to 4'200 CHF",NA,NA,32,0.0115356885364095
43,"4'201 to 4'300 CHF",NA,NA,11,0.00396539293439077
