"PT subscription group ID","PT subscription Groups","Survey","Percentage of Survey"
1,"Half-Fare Card",130,0.306603773584906
2,"Track 7 (replaced by Seven25 since 01.05.2019)",23,0.0542452830188679
3,"Seven25 (replaces Track 7 since 01.05.2019)",28,0.0660377358490566
4,"City ticket (eg City of Zurich)",27,0.0636792452830189
5,"Regional ticket (eg several zones in the canton of Zurich)",34,0.080188679245283
6,"Point-to-point travel card (eg Zurich - Schaffhausen",26,0.0613207547169811
7,"General subscription (valid at any time, all-of Switzerland)",59,0.139150943396226
8,"Other subscription",15,0.035377358490566
9,"None",78,0.183962264150943
10,"I do not know",4,0.00943396226415094
