"Remark ID","Q12 EV experience remarks","Q14 EV use remarks","Q15 mobility usage remarks","Q16 PT subscription remarks","Q40 EV advantages remarks","Q41 EV disadvantages remarks","Q42 End of survey remarks"
1,"Benzin und Diesel","Benzin","kauf","ost ch","Genug PS","Graue Energie","ok"
2,"Camper","Benzin/Diesel","BLA BLA Cars","Libero","reichweite","Lösung der Entsorgung","Cool"
3,"Benzingetriebenes Auto","Benzin Triebwerk","cash gekauft","U-Abo","Reichweite bis 2000 km","Batterie besteht auch als Seltenen Erden","Ich fsnde diese Studie sehr Interessant"
4,"elektro trotinette","Benziner","Borgen von Freunden","Passepartout","cheise","Umweltverträglichkeit bei Herstellung","alles Bestens, Danke"
5,"Trolley Bus","diesel/benzin","busabo","Zu bonuspass",NA,"Entsorgung der Batterie","Alles gut und sehr schnell zu beatworten"
6,"diesel","Diesel","Familien","U Abo",NA,"Die Kosten der Batterie nach ablauf der Garantie. Die Umwelt leidet unter der Herstellung der Batterien immer mehr, es ist auch eine Katastrophe gleich wie Co2 Ozon kaputt macht,ist die batterieherstellung schädlich für den boden","Ja"
7,NA,"Benzin",NA,"9i Pass",NA,"Preis","Montag"
8,NA,"Essence",NA,"halb tarif",NA,"Elektroautos sind nicht so ""grün"" wie man meint","Es war sehr interessant Studie ."
9,NA,"Benzin",NA,"U-Abo",NA,"Batterien sind auch nicht imweltfreundlich","Hallllllllo"
10,NA,"gasoil",NA,"Halbtags",NA,"cheise","Gut"
11,NA,"benzin und diesel",NA,"Verbund abo mehrere Zonen im Kanton Waadt",NA,"keines","danke"
12,NA,"benzin",NA,"Mobilis",NA,"Licium abau","sais pas"
13,NA,"Benzin",NA,NA,NA,"Non","War eine sehr gute Umfrage"
14,NA,"Diesel",NA,NA,NA,NA,"sdfghj"
15,NA,"diesel",NA,NA,NA,NA,"sdfghj"
16,NA,"Benzin",NA,NA,NA,NA,"gute, schnelle umfrage die sinn gemacht hat top"
17,NA,"Volvo V70",NA,NA,NA,NA,"C ést Trés Interesant"
18,NA,"Fahrrad",NA,NA,NA,NA,"removed: personal data"
19,NA,"Diesel Auto",NA,NA,NA,NA,"removed: personal data"
20,NA,"Benzin-auto",NA,NA,NA,NA,"Good luck with the following"
21,NA,"elektro trotînette",NA,NA,NA,NA,"Nicht"
22,NA,"Diesel",NA,NA,NA,NA,"gut wie immer"
23,NA,"diesel",NA,NA,NA,NA,"interessant"
24,NA,"Benzin-Auto",NA,NA,NA,NA,"Merci"
25,NA,"Benzin",NA,NA,NA,NA,"es war mir ein vergnugen ihre Fragen beantwortet zu haben"
26,NA,"Benziner",NA,NA,NA,NA,"ich arbeite bei der Bahn und erhalte das GA zu einem reduzierten Preis, deshalb ist die Variante mit den TGK für OEV nicht relevant für mich."
27,NA,"diesel",NA,NA,NA,NA,"Keins"
28,NA,NA,NA,NA,NA,NA,"Keine"
29,NA,NA,NA,NA,NA,NA,"War alles gut"
30,NA,NA,NA,NA,NA,NA,"nein"
31,NA,NA,NA,NA,NA,NA,"Sehr gute Umfrage"
32,NA,NA,NA,NA,NA,NA,"good"
33,NA,NA,NA,NA,NA,NA,"Tres interessant"
34,NA,NA,NA,NA,NA,NA,"nein"
35,NA,NA,NA,NA,NA,NA,"Nein , Danke"
36,NA,NA,NA,NA,NA,NA,"Alles bestens."
37,NA,NA,NA,NA,NA,NA,"Für mich, das ist besser  Wasserstoff entwickeln als Elektroautos mit Batterie"
38,NA,NA,NA,NA,NA,NA,"Ich habe kein Kommentar zu machen danke"
39,NA,NA,NA,NA,NA,NA,"einbisschen zu spezifisch"
40,NA,NA,NA,NA,NA,NA,"I like the idea of an electric car but I think it is still too early for me to buy one. Companies must work faster on educating people about it so that is can interest more and more people, also the infrastructure needs to follow as fast."
41,NA,NA,NA,NA,NA,NA,"Keine Kommentare"
42,NA,NA,NA,NA,NA,NA,"800 pro Monat sind viel zu viel"
43,NA,NA,NA,NA,NA,NA,"Good"
44,NA,NA,NA,NA,NA,NA,"removed: personal data"
45,NA,NA,NA,NA,NA,NA,"super"
46,NA,NA,NA,NA,NA,NA,"nicht."
47,NA,NA,NA,NA,NA,NA,"800 fr. pro monat für ein abo sind viel zu hoch"
48,NA,NA,NA,NA,NA,NA,"removed: personal data"
49,NA,NA,NA,NA,NA,NA,"Nein"
50,NA,NA,NA,NA,NA,NA,"keine"
51,NA,NA,NA,NA,NA,NA,"Sehr gut"
52,NA,NA,NA,NA,NA,NA,"Ich bin derzeit der Ansicht, dass die Technologie, zu der ich befragt wurde, nicht genug ausgereift ist für die breite Masse. Dennoch betrachte ich sie als Zukunft."
53,NA,NA,NA,NA,NA,NA,"elektroauto ist cheise"
54,NA,NA,NA,NA,NA,NA,"zyi"
55,NA,NA,NA,NA,NA,NA,"J'aimerais acheter une voiture électrique mais trop cher et pas de rechargement pratique vu que j'ai une place de parc dans un parking sous terrain"
56,NA,NA,NA,NA,NA,NA,"Super"
57,NA,NA,NA,NA,NA,NA,"Nein"
58,NA,NA,NA,NA,NA,NA,"Interessante Umfrage! Ausnahsweise mal!"
59,NA,NA,NA,NA,NA,NA,"Excellent"
60,NA,NA,NA,NA,NA,NA,"hoffe ergiebige umfrageergebnisse."
61,NA,NA,NA,NA,NA,NA,"nichts"
62,NA,NA,NA,NA,NA,NA,"sehr interessant"
63,NA,NA,NA,NA,NA,NA,"---"
64,NA,NA,NA,NA,NA,NA,"Gute Umfrage für den Zeitvertreib."
65,NA,NA,NA,NA,NA,NA,"CDFGHJK"
66,NA,NA,NA,NA,NA,NA,"Vielen Dank"
67,NA,NA,NA,NA,NA,NA,"Vielen Dank"
68,NA,NA,NA,NA,NA,NA,"Vielen Dank"
69,NA,NA,NA,NA,NA,NA,"Elektroautos werden immer mehr populär"
70,NA,NA,NA,NA,NA,NA,"kein"
71,NA,NA,NA,NA,NA,NA,"Vielen Dank"
72,NA,NA,NA,NA,NA,NA,"Vielen Dank"
73,NA,NA,NA,NA,NA,NA,"Vielen Dank"
74,NA,NA,NA,NA,NA,NA,"Vielen Dank"
75,NA,NA,NA,NA,NA,NA,"Vielen Dank"
76,NA,NA,NA,NA,NA,NA,"Vielen Dank"
77,NA,NA,NA,NA,NA,NA,"removed: personal data"
78,NA,NA,NA,NA,NA,NA,"ok"
79,NA,NA,NA,NA,NA,NA,"sdgffdgdfh"
80,NA,NA,NA,NA,NA,NA,"je ne sais pas"
81,NA,NA,NA,NA,NA,NA,"Keine Bemerkung"
82,NA,NA,NA,NA,NA,NA,"mbmbn"
83,NA,NA,NA,NA,NA,NA,"jhjh"
84,NA,NA,NA,NA,NA,NA,"Vielen Dank"
85,NA,NA,NA,NA,NA,NA,"War nicht schlecht"
86,NA,NA,NA,NA,NA,NA,"---"
87,NA,NA,NA,NA,NA,NA,"war alles okay"
88,NA,NA,NA,NA,NA,NA,"Sehr interessante Befragung auch was für verschiedene Abos angefacht sind"
89,NA,NA,NA,NA,NA,NA,"-"
90,NA,NA,NA,NA,NA,NA,"Nichts"
91,NA,NA,NA,NA,NA,NA,"Gut"
92,NA,NA,NA,NA,NA,NA,NA
93,NA,NA,NA,NA,NA,NA,NA
94,NA,NA,NA,NA,NA,NA,NA
95,NA,NA,NA,NA,NA,NA,NA
96,NA,NA,NA,NA,NA,NA,NA
97,NA,NA,NA,NA,NA,NA,NA
98,NA,NA,NA,NA,NA,NA,NA
99,NA,NA,NA,NA,NA,NA,NA
100,NA,NA,NA,NA,NA,NA,NA
101,NA,NA,NA,NA,NA,NA,NA
102,NA,NA,NA,NA,NA,NA,NA
103,NA,NA,NA,NA,NA,NA,NA
104,NA,NA,NA,NA,NA,NA,NA
105,NA,NA,NA,NA,NA,NA,NA
106,NA,NA,NA,NA,NA,NA,NA
107,NA,NA,NA,NA,NA,NA,NA
108,NA,NA,NA,NA,NA,NA,NA
109,NA,NA,NA,NA,NA,NA,NA
110,NA,NA,NA,NA,NA,NA,NA
111,NA,NA,NA,NA,NA,NA,NA
112,NA,NA,NA,NA,NA,NA,NA
113,NA,NA,NA,NA,NA,NA,NA
114,NA,NA,NA,NA,NA,NA,NA
115,NA,NA,NA,NA,NA,NA,NA
116,NA,NA,NA,NA,NA,NA,NA
117,NA,NA,NA,NA,NA,NA,NA
118,NA,NA,NA,NA,NA,NA,NA
119,NA,NA,NA,NA,NA,NA,NA
120,NA,NA,NA,NA,NA,NA,NA
121,NA,NA,NA,NA,NA,NA,NA
122,NA,NA,NA,NA,NA,NA,NA
123,NA,NA,NA,NA,NA,NA,NA
124,NA,NA,NA,NA,NA,NA,NA
125,NA,NA,NA,NA,NA,NA,NA
126,NA,NA,NA,NA,NA,NA,NA
127,NA,NA,NA,NA,NA,NA,NA
128,NA,NA,NA,NA,NA,NA,NA
129,NA,NA,NA,NA,NA,NA,NA
130,NA,NA,NA,NA,NA,NA,NA
131,NA,NA,NA,NA,NA,NA,NA
132,NA,NA,NA,NA,NA,NA,NA
133,NA,NA,NA,NA,NA,NA,NA
134,NA,NA,NA,NA,NA,NA,NA
135,NA,NA,NA,NA,NA,NA,NA
136,NA,NA,NA,NA,NA,NA,NA
137,NA,NA,NA,NA,NA,NA,NA
138,NA,NA,NA,NA,NA,NA,NA
139,NA,NA,NA,NA,NA,NA,NA
140,NA,NA,NA,NA,NA,NA,NA
141,NA,NA,NA,NA,NA,NA,NA
142,NA,NA,NA,NA,NA,NA,NA
143,NA,NA,NA,NA,NA,NA,NA
144,NA,NA,NA,NA,NA,NA,NA
145,NA,NA,NA,NA,NA,NA,NA
146,NA,NA,NA,NA,NA,NA,NA
147,NA,NA,NA,NA,NA,NA,NA
148,NA,NA,NA,NA,NA,NA,NA
149,NA,NA,NA,NA,NA,NA,NA
150,NA,NA,NA,NA,NA,NA,NA
151,NA,NA,NA,NA,NA,NA,NA
152,NA,NA,NA,NA,NA,NA,NA
153,NA,NA,NA,NA,NA,NA,NA
154,NA,NA,NA,NA,NA,NA,NA
155,NA,NA,NA,NA,NA,NA,NA
156,NA,NA,NA,NA,NA,NA,NA
157,NA,NA,NA,NA,NA,NA,NA
158,NA,NA,NA,NA,NA,NA,NA
159,NA,NA,NA,NA,NA,NA,NA
160,NA,NA,NA,NA,NA,NA,NA
161,NA,NA,NA,NA,NA,NA,NA
162,NA,NA,NA,NA,NA,NA,NA
163,NA,NA,NA,NA,NA,NA,NA
164,NA,NA,NA,NA,NA,NA,NA
165,NA,NA,NA,NA,NA,NA,NA
166,NA,NA,NA,NA,NA,NA,NA
167,NA,NA,NA,NA,NA,NA,NA
168,NA,NA,NA,NA,NA,NA,NA
169,NA,NA,NA,NA,NA,NA,NA
170,NA,NA,NA,NA,NA,NA,NA
171,NA,NA,NA,NA,NA,NA,NA
172,NA,NA,NA,NA,NA,NA,NA
173,NA,NA,NA,NA,NA,NA,NA
174,NA,NA,NA,NA,NA,NA,NA
175,NA,NA,NA,NA,NA,NA,NA
176,NA,NA,NA,NA,NA,NA,NA
177,NA,NA,NA,NA,NA,NA,NA
178,NA,NA,NA,NA,NA,NA,NA
179,NA,NA,NA,NA,NA,NA,NA
180,NA,NA,NA,NA,NA,NA,NA
181,NA,NA,NA,NA,NA,NA,NA
182,NA,NA,NA,NA,NA,NA,NA
183,NA,NA,NA,NA,NA,NA,NA
184,NA,NA,NA,NA,NA,NA,NA
185,NA,NA,NA,NA,NA,NA,NA
186,NA,NA,NA,NA,NA,NA,NA
187,NA,NA,NA,NA,NA,NA,NA
188,NA,NA,NA,NA,NA,NA,NA
189,NA,NA,NA,NA,NA,NA,NA
190,NA,NA,NA,NA,NA,NA,NA
191,NA,NA,NA,NA,NA,NA,NA
192,NA,NA,NA,NA,NA,NA,NA
193,NA,NA,NA,NA,NA,NA,NA
194,NA,NA,NA,NA,NA,NA,NA
195,NA,NA,NA,NA,NA,NA,NA
196,NA,NA,NA,NA,NA,NA,NA
197,NA,NA,NA,NA,NA,NA,NA
198,NA,NA,NA,NA,NA,NA,NA
199,NA,NA,NA,NA,NA,NA,NA
200,NA,NA,NA,NA,NA,NA,NA
201,NA,NA,NA,NA,NA,NA,NA
202,NA,NA,NA,NA,NA,NA,NA
203,NA,NA,NA,NA,NA,NA,NA
204,NA,NA,NA,NA,NA,NA,NA
205,NA,NA,NA,NA,NA,NA,NA
206,NA,NA,NA,NA,NA,NA,NA
207,NA,NA,NA,NA,NA,NA,NA
208,NA,NA,NA,NA,NA,NA,NA
209,NA,NA,NA,NA,NA,NA,NA
210,NA,NA,NA,NA,NA,NA,NA
211,NA,NA,NA,NA,NA,NA,NA
212,NA,NA,NA,NA,NA,NA,NA
213,NA,NA,NA,NA,NA,NA,NA
214,NA,NA,NA,NA,NA,NA,NA
215,NA,NA,NA,NA,NA,NA,NA
216,NA,NA,NA,NA,NA,NA,NA
217,NA,NA,NA,NA,NA,NA,NA
218,NA,NA,NA,NA,NA,NA,NA
219,NA,NA,NA,NA,NA,NA,NA
220,NA,NA,NA,NA,NA,NA,NA
221,NA,NA,NA,NA,NA,NA,NA
222,NA,NA,NA,NA,NA,NA,NA
223,NA,NA,NA,NA,NA,NA,NA
224,NA,NA,NA,NA,NA,NA,NA
225,NA,NA,NA,NA,NA,NA,NA
226,NA,NA,NA,NA,NA,NA,NA
227,NA,NA,NA,NA,NA,NA,NA
228,NA,NA,NA,NA,NA,NA,NA
229,NA,NA,NA,NA,NA,NA,NA
230,NA,NA,NA,NA,NA,NA,NA
231,NA,NA,NA,NA,NA,NA,NA
232,NA,NA,NA,NA,NA,NA,NA
233,NA,NA,NA,NA,NA,NA,NA
234,NA,NA,NA,NA,NA,NA,NA
235,NA,NA,NA,NA,NA,NA,NA
236,NA,NA,NA,NA,NA,NA,NA
237,NA,NA,NA,NA,NA,NA,NA
238,NA,NA,NA,NA,NA,NA,NA
239,NA,NA,NA,NA,NA,NA,NA
240,NA,NA,NA,NA,NA,NA,NA
241,NA,NA,NA,NA,NA,NA,NA
242,NA,NA,NA,NA,NA,NA,NA
243,NA,NA,NA,NA,NA,NA,NA
244,NA,NA,NA,NA,NA,NA,NA
245,NA,NA,NA,NA,NA,NA,NA
246,NA,NA,NA,NA,NA,NA,NA
247,NA,NA,NA,NA,NA,NA,NA
248,NA,NA,NA,NA,NA,NA,NA
249,NA,NA,NA,NA,NA,NA,NA
250,NA,NA,NA,NA,NA,NA,NA
251,NA,NA,NA,NA,NA,NA,NA
252,NA,NA,NA,NA,NA,NA,NA
253,NA,NA,NA,NA,NA,NA,NA
254,NA,NA,NA,NA,NA,NA,NA
255,NA,NA,NA,NA,NA,NA,NA
256,NA,NA,NA,NA,NA,NA,NA
257,NA,NA,NA,NA,NA,NA,NA
258,NA,NA,NA,NA,NA,NA,NA
259,NA,NA,NA,NA,NA,NA,NA
260,NA,NA,NA,NA,NA,NA,NA
261,NA,NA,NA,NA,NA,NA,NA
262,NA,NA,NA,NA,NA,NA,NA
263,NA,NA,NA,NA,NA,NA,NA
264,NA,NA,NA,NA,NA,NA,NA
