"StartDate","EndDate","Status","Progress","Duration (in seconds)","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","RelevantID_First Click","RelevantID_Last Click","RelevantID_Page Submit","RelevantID_Click Count","Q1_consent","MetaDataQ_Browser","MetaDataQ_Version","MetaDataQ_Operating System","MetaDataQ_Resolution","Q2_lang-DE","Q3_lang_EN","Q4_gender","Q5_age","Q6_residence","Q7_household-size","Q8_household-income","Q9_drivers-license","Q11_car-purch-intent","Q12_EV-experience","Q12_EV-experience_8_TEXT","Q13_car-ownership","Q14_EV-use","Q14_EV-use_8_TEXT","Q15_mobility-usage","Q15_mobility-usage_9_TEXT","Q16_PT-subscr","Q16_PT-subscr_7_TEXT","Q18_PT-spend","Q19_PT-spend-t","Q21_car-spend","Q22_car-spend-t","Q24_EV-range-commute","Q25_EV-range-all","Q27_mob-subscr-inter","Q28_mob-subscr-WTP","Q30_mob-subscr1-PI","Q32_mob-subscr2-PI","Q34_mob-subscr3-PI","Q36_mob-subscr4-PI","Q38_mob-subscr5-PI","Q39_mob-subscr-rank_1","Q39_mob-subscr-rank_2","Q39_mob-subscr-rank_3","Q39_mob-subscr-rank_4","Q39_mob-subscr-rank_5","Q39_mob-subscr-rank_0","Q40_EV-adv","Q40_EV-adv_8_TEXT","Q41_EV-disadv","Q41_EV-disadv_9_TEXT","Q42_end-of-survey","opp","rid","V","gid","sname","enc","isNew","Q_TotalDuration","test","version","test2","gc","term","Q42_end-of-survey - Topics","Q12_EV-experience_12_TEXT - Topics","Q14_EV-use_13_TEXT - Topics","Q41_EV-disadv_18_TEXT - Topics","Q40_EV-adv_12_TEXT - Topics","EV adv. others - Topics","Q16_PT-subscr_10_TEXT - Topics","Q13_12_TEXT - Topics"
"Start Date","End Date","Response Type","Progress","Duration (in seconds)","Finished","Recorded Date","Response ID","Recipient Last Name","Recipient First Name","Recipient Email","External Data Reference","Location Latitude","Location Longitude","Distribution Channel","User Language","Timing - Erster Klick","Timing - Letzter Klick","Timing - Seite absenden","Timing - Auf Anzahl klicken","Herzlich willkommen bei der ETH Forschungsstudie zum Thema Mobilitätspräferenzen! Im Rahmen dieser Studie bieten wir Ihnen Informationen zu Mobilitätspräferenzen und stellen Ihnen anschließend einige Fragen. Ihre Antworten werden natürlich vertraulich behandelt.  Die Beantwortung der Fragen dauert etwa zehn Minuten. Ihre Teilnahme an dieser Studie ist freiwillig. Sie können die Studie zu jedem beliebigen Zeitpunkt ohne Begründung abbrechen. Wenn Sie den Leiter dieser Studie Jonas Peschel kontaktieren möchten, senden Sie bitte eine E-Mail an peschelj@student.ethz.ch.    Klicken Sie auf die Schaltfläche unten, um zu bestätigen, dass Ihre Teilnahme freiwillig erfolgt, dass Sie volljährig sind und dass Sie darüber informiert wurden, die Studie zu jedem Zeitpunkt ohne Angabe von Gründen abbrechen zu können.","Browser Meta Info - Browser","Browser Meta Info - Version","Browser Meta Info - Betriebssystem","Browser Meta Info - Auflösung","Sprechen Sie Deutsch?  Hinweis:   	Sprachniveau mindestens B2.","Sprechen Sie Englisch?  Hinweis:   	Sprachniveau mindestens B2.","Was ist Ihr Geschlecht?","Wie alt sind Sie? Hinweis:   	Falls Sie bald Geburtstag haben: geben Sie bitte Ihr Alter per 01. Juni 2019 an.","In welchem Kanton wohnen Sie?","Wie viele Personen leben insgesamt in Ihrem Haushalt? Hinweise:   	Schliessen Sie sich selbst ein. 	Schliessen Sie alle Personen ein, die mindestens vier Tage pro Woche in Ihrem Haushalt verbringen. 	Wenn Sie in einer Wohngemeinschaft wohnen, geben Sie bitte die Anzahl der in der Wohnung lebenden Personen an.","Wie hoch ist das monatliche Einkommen Ihres Haushalts? Hinweise:   	Schliessen Sie sich selbst ein. 	Geben Sie das Einkommen aller Personen an, die in Ihrem Haushalt leben.","Haben Sie einen   Führerschein?","Haben Sie vor, in den nächsten drei Jahren ein Auto zu kaufen oder ein Auto-Mobilitätsabo abzuschliessen?  Hinweise:  	Antworten Sie auch mit 'ja', falls Sie beabsichtigen ein Auto zu leasen. 	Ein Auto-Mobilitätsabo ist eine spezielle Art eines Mobilitätsabos, das die Kosten für Mobilität enthält, die mit der Nutzung eines Autos anfallen.","Welche Arten von Elektrofahrzeugen sind Sie jemals gefahren? Hinweis:   	Schliessen Sie auch Fahrerfahrungen als Beifahrer ein. - Selected Choice","Welche Arten von Elektrofahrzeugen sind Sie jemals gefahren? Hinweis:   	Schliessen Sie auch Fahrerfahrungen als Beifahrer ein. - Andere - Text","Wie viele Autos haben Sie in Ihrem Haushalt? Hinweis:   	Einschliesslich ständig zur Verfügung stehender Geschäftsautos.","Welche Arten von Elektrofahrzeugen nutzen Sie? - Selected Choice","Welche Arten von Elektrofahrzeugen nutzen Sie? - Andere - Text","Welche Art von Mobilitätsdiensten haben Sie jemals in Anspruch genommen? Hinweis:   	Schließen Sie auch Dienste ein, bei denen Sie ein Passagier waren. - Selected Choice","Welche Art von Mobilitätsdiensten haben Sie jemals in Anspruch genommen? Hinweis:   	Schließen Sie auch Dienste ein, bei denen Sie ein Passagier waren. - Andere - Text","Welche Abos für den Schweizer öffentlichen Verkehr besitzen Sie? - Selected Choice","Welche Abos für den Schweizer öffentlichen Verkehr besitzen Sie? - Anderes Abo - Text","Mobilitätsausgaben für den ÖV","Zeitraum:","Mobilitätsausgaben für das Auto","Zeitraum:","Batteriereichweite für Pendelstrecke:Was ist die niedrigste Batteriereichweite, die für die Nutzung des Elektroautos für Ihre tägliche Pendelstrecke ausreicht?  Hinweise:   	Betrachten Sie das Auto als Ihren Erstweitwagen. 	Ein Aufladen auf der Strecke ist möglich. 	Anwendungsfälle: Pendelstrecke (z. B. vom Wohnort zur Arbeit).","Batteriereichweite für alle Anwendungsfälle:Was ist die niedrigste Batteriereichweite, die für die Nutzung des Elektroautos für alle Ihre Anwendungsfälle über das Jahr verteilt ausreicht? Hinweise:   	Betrachten Sie das Auto als Ihren Erstweitwagen. 	Ein Aufladen auf der Strecke ist möglich. 	Anwendungsfälle: Pendelstrecke und weitere (z. B. sowohl vom Wohnort zur Arbeit, als auch Fahrten am Wochenende).","Wie interessiert sind Sie an einem solchen Auto-Mobilitätsabo als Ersatz für den Kauf Ihres nächsten Autos?","Wie viel sind Sie pro   Monat bereit, für dieses Abo zu zahlen?","Wie wahrscheinlich würden Sie dieses Abo kaufen?","Wie wahrscheinlich würden Sie dieses Abo kaufen?","Wie wahrscheinlich würden Sie dieses Abo kaufen?","Wie wahrscheinlich würden Sie dieses Abo kaufen?","Wie wahrscheinlich würden Sie dieses Abo kaufen?","Ordnen Sie bitte die fünf Abo-Optionen von 'am meisten favorisiert' bis 'am wenigsten favorisiert'. Nutzen Sie Drag-and-Drop zum Verschieben der Abos. - Mobilitätsabo 1: Verbrennerauto","Ordnen Sie bitte die fünf Abo-Optionen von 'am meisten favorisiert' bis 'am wenigsten favorisiert'. Nutzen Sie Drag-and-Drop zum Verschieben der Abos. - Mobilitätsabo 2: Elektroauto mit 100 km Reichweite","Ordnen Sie bitte die fünf Abo-Optionen von 'am meisten favorisiert' bis 'am wenigsten favorisiert'. Nutzen Sie Drag-and-Drop zum Verschieben der Abos. - Mobilitätsabo 3: Elektroauto mit 400 km Reichweite","Ordnen Sie bitte die fünf Abo-Optionen von 'am meisten favorisiert' bis 'am wenigsten favorisiert'. Nutzen Sie Drag-and-Drop zum Verschieben der Abos. - Mobilitätsabo 4: Elektroauto mit 100 km Reichweite + zwei Verbrennerauto Tagesmieten","Ordnen Sie bitte die fünf Abo-Optionen von 'am meisten favorisiert' bis 'am wenigsten favorisiert'. Nutzen Sie Drag-and-Drop zum Verschieben der Abos. - Mobilitätsabo 5: Elektroauto mit 100 km Reichweite + zwei Tageskarten für den Schweizer ÖV","Ordnen Sie bitte die fünf Abo-Optionen von 'am meisten favorisiert' bis 'am wenigsten favorisiert'. Nutzen Sie Drag-and-Drop zum Verschieben der Abos. - Keines der Mobilitätsabo","Stellen Sie sich vor, dass Sie ein Auto kaufen möchten.  Welche Vorteile sind Ihnen am wichtigsten an Elektroautos gegenüber Verbrennerautos?   	Wählen Sie maximal drei Auswahlmöglichkeiten. - Selected Choice","Stellen Sie sich vor, dass Sie ein Auto kaufen möchten.  Welche Vorteile sind Ihnen am wichtigsten an Elektroautos gegenüber Verbrennerautos?   	Wählen Sie maximal drei Auswahlmöglichkeiten. - Andere - Text","Stellen Sie sich vor, dass Sie ein Auto kaufen möchten.  Aufgrund welcher Barrieren würden Sie am meisten zögern, ein Elektroauto zu kaufen?   	Wählen Sie maximal drei Auswahlmöglichkeiten. - Selected Choice","Stellen Sie sich vor, dass Sie ein Auto kaufen möchten.  Aufgrund welcher Barrieren würden Sie am meisten zögern, ein Elektroauto zu kaufen?   	Wählen Sie maximal drei Auswahlmöglichkeiten. - Andere - Text","removed: personal data","opp","rid","V","gid","sname","enc","isNew","Q_TotalDuration","test","version","test2","gc","term","Q42_end-of-survey - Topics","Q12_EV-experience_12_TEXT - Topics","Q14_EV-use_13_TEXT - Topics","Q41_EV-disadv_18_TEXT - Topics","Q40_EV-adv_12_TEXT - Topics","EV adv. others - Topics","Q16_PT-subscr_10_TEXT - Topics","Q13_12_TEXT - Topics"
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID132_FIRST_CLICK""}","{""ImportId"":""QID132_LAST_CLICK""}","{""ImportId"":""QID132_PAGE_SUBMIT""}","{""ImportId"":""QID132_CLICK_COUNT""}","{""ImportId"":""QID172807553""}","{""ImportId"":""QID137_BROWSER""}","{""ImportId"":""QID137_VERSION""}","{""ImportId"":""QID137_OS""}","{""ImportId"":""QID137_RESOLUTION""}","{""ImportId"":""QID24""}","{""ImportId"":""QID135""}","{""ImportId"":""QID133""}","{""ImportId"":""QID26_TEXT""}","{""ImportId"":""QID28""}","{""ImportId"":""QID64""}","{""ImportId"":""QID109""}","{""ImportId"":""QID65""}","{""ImportId"":""QID63""}","{""ImportId"":""QID20""}","{""ImportId"":""QID20_12_TEXT""}","{""ImportId"":""QID110""}","{""ImportId"":""QID36""}","{""ImportId"":""QID36_13_TEXT""}","{""ImportId"":""QID62""}","{""ImportId"":""QID62_12_TEXT""}","{""ImportId"":""QID61""}","{""ImportId"":""QID61_10_TEXT""}","{""ImportId"":""QID127""}","{""ImportId"":""QID128""}","{""ImportId"":""QID136""}","{""ImportId"":""QID129""}","{""ImportId"":""QID122""}","{""ImportId"":""QID126""}","{""ImportId"":""QID98""}","{""ImportId"":""QID111""}","{""ImportId"":""QID52""}","{""ImportId"":""QID112""}","{""ImportId"":""QID113""}","{""ImportId"":""QID114""}","{""ImportId"":""QID115""}","{""ImportId"":""QID107_1""}","{""ImportId"":""QID107_2""}","{""ImportId"":""QID107_3""}","{""ImportId"":""QID107_4""}","{""ImportId"":""QID107_5""}","{""ImportId"":""QID107_6""}","{""ImportId"":""QID40""}","{""ImportId"":""QID40_12_TEXT""}","{""ImportId"":""QID39""}","{""ImportId"":""QID39_18_TEXT""}","{""ImportId"":""QID117_TEXT""}","{""ImportId"":""opp""}","{""ImportId"":""rid""}","{""ImportId"":""V""}","{""ImportId"":""gid""}","{""ImportId"":""sname""}","{""ImportId"":""enc""}","{""ImportId"":""isNew""}","{""ImportId"":""Q_TotalDuration""}","{""ImportId"":""test""}","{""ImportId"":""version""}","{""ImportId"":""test2""}","{""ImportId"":""gc""}","{""ImportId"":""term""}","{""ImportId"":""QID117_TEXT_9d890006932c490bbaec4bd9Topics""}","{""ImportId"":""QID20_12_TEXT_9d890006932c490bbaec4bd9Topics""}","{""ImportId"":""QID36_13_TEXT_9d890006932c490bbaec4bd9Topics""}","{""ImportId"":""QID39_18_TEXT_9d890006932c490bbaec4bd9Topics""}","{""ImportId"":""QID40_12_TEXT_9d890006932c490bbaec4bd9Topics""}","{""ImportId"":""QID42_TEXT_9d890006932c490bbaec4bd9Topics""}","{""ImportId"":""QID61_10_TEXT_9d890006932c490bbaec4bd9Topics""}","{""ImportId"":""QID62_12_TEXT_9d890006932c490bbaec4bd9Topics""}"
"2019-05-21 18:00:00","2019-05-21 18:03:29","0","100","208","1","2019-05-21 18:03:29","R_SK0bYIMZET37Woh",NA,NA,NA,NA,"47.36639404296875","8.554595947265625","anonymous","DE","0","0","8.108","0","1",NA,NA,NA,NA,"1",NA,NA,"27","1","2","7","1","1","1,6","-99","2","8","-99","2,4","-99","6","-99","4","1",NA,"1","-1","6","3","11","1","3","5","2","1","1","3","2","4","5","6","2,3,4","-99","2,4,6","-99","-99","Qual2380-2904Switz","5ce42079-97f5-04ac-988a-fec80f12ba35","H",NA,NA,"$e[ ( e://Field/gid % 1019 ) * 47 ]","True","208",NA,NA,NA,"1","geoip",NA,NA,NA,NA,NA,NA,NA,NA
"2019-05-21 18:07:48","2019-05-21 18:11:41","0","100","233","1","2019-05-21 18:11:42","R_3JaYWLz2sQ3qGHf",NA,NA,NA,NA,"46.94580078125","7.4481048583984375","anonymous","DE","0","0","2.115","0","1",NA,NA,NA,NA,"1",NA,NA,"29","6","3","4","1","1","3,5,6","-99","1","6","-99","2,4,6,8","-99","1,2,4","-99","4","1",NA,"1","7","10","3","8","4","3","4","2","4","4","5","1","3","2","6","3","-99","4","-99","ok","Qual2380-2904Switz","5ce42241-7379-8692-a9f1-14eb666b1032","H",NA,NA,"$e[ ( e://Field/gid % 1019 ) * 47 ]","True","233",NA,NA,NA,"1",NA,"Unknown",NA,NA,NA,NA,NA,NA,NA
"2019-05-21 18:07:56","2019-05-21 18:12:51","0","100","295","1","2019-05-21 18:12:52","R_WujPiixqmu6I6eB",NA,NA,NA,NA,"47.36639404296875","8.554595947265625","anonymous","DE","0","0","2.696","0","1",NA,NA,NA,NA,"0",NA,NA,"19","25","4","9","1","1","3,5,7","-99","2","3","-99","1,2,3,4","-99","1,5","-99","13","1",NA,"1","1","11","4","2","4","3","4","4","3","1","5","2","4","3","6","1,3,4","-99","1,4,6","-99","-99","Qual2380-2904Switz","5ce42255-f20c-669d-b60e-69cf83747d36","H",NA,NA,"$e[ ( e://Field/gid % 1019 ) * 47 ]","True","295",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-05-21 18:08:09","2019-05-21 18:15:35","0","100","445","1","2019-05-21 18:15:36","R_1k2fZ9cE2c5pfzm",NA,NA,NA,NA,"47.57879638671875","7.6468048095703125","anonymous","DE","0","0","2.347","0","1",NA,NA,NA,NA,"1",NA,NA,"34","8","2","5","1","1","3","-99","2","3","-99","0","-99","1","-99","2","1",NA,"1","6","11","4","1","2","3","4","2","3","5","4","1","3","2","6","1,3,4","-99","2,4,6","-99","-99","Qual2380-2904Switz","5ce42264-26e5-1948-7b27-7d9f313cfef6","H",NA,NA,"$e[ ( e://Field/gid % 1019 ) * 47 ]","True","445",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-05-21 17:59:53","2019-05-21 18:15:59","0","100","965","1","2019-05-21 18:16:00","R_3sczx7r4dsEdgSE",NA,NA,NA,NA,"47.050506591796875","8.306396484375","anonymous","DE","0","0","5.23","0","1",NA,NA,NA,NA,"0",NA,NA,"47","26","5","-2","1","1","2,3","-99","2","0","-99","1,2,4","-99","1","-99","1","2",NA,"2","3","-1","5","2","1","1","-1","-1","1","3","4","1","2","5","6","4,6,8","Genug PS","1,2,8","-99","-99","Qual2380-2904Switz","5ce42074-5ba4-01b2-ce93-c47ab3080877","H",NA,NA,"$e[ ( e://Field/gid % 1019 ) * 47 ]","True","965",NA,NA,NA,"1","geoip",NA,NA,NA,NA,"Unknown",NA,NA,NA
"2019-05-21 18:10:25","2019-05-21 18:20:26","0","100","601","1","2019-05-21 18:20:27","R_3PHVqdZSfE4kELY",NA,NA,NA,NA,"46.94580078125","7.4481048583984375","anonymous","DE","0","0","4.179","0","1",NA,NA,NA,NA,"1",NA,NA,"75","1","2","2","1","1","1","-99","1","0","-99","1,2","-99","0","-99","1","1",NA,"2","8","8","4","2","5","1","5","1","1","2","3","1","4","5","6","1,2,4","-99","1,2,3","-99","-99","Qual2380-2904Switz","5ce422ec-ec45-1271-05da-e8f51fe2a8a5","H",NA,NA,"$e[ ( e://Field/gid % 1019 ) * 47 ]","True","601",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-05-21 18:23:55","2019-05-21 18:28:43","0","100","288","1","2019-05-21 18:28:44","R_af1h8Xgq8FQz997",NA,NA,NA,NA,"47.36639404296875","8.554595947265625","anonymous","DE","0","0","2.159","0","1",NA,NA,NA,NA,"1",NA,NA,"46","25","1","-1","1","1","1,2,5,6,7","-99","1","2,6","-99","1,4,6","-99","1,4","-99","12","1",NA,"1","-1","-1","5","2","5","4","4","5","4","1","2","3","4","5","6","1,3,4","-99","1,2,6","-99","-99","Qual2380-2904Switz","5ce42616-52af-0ff2-706b-59d9d3776ee4","H",NA,NA,"$e[ ( e://Field/gid % 1019 ) * 47 ]","True","288",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2019-05-21 18:24:31","2019-05-21 18:28:47","0","100","256","1","2019-05-21 18:28:48","R_10xBzOByLKvPI2G",NA,NA,NA,NA,"46.94580078125","7.4481048583984375","anonymous","DE","0","0","1.599","0","1",NA,NA,NA,NA,"1",NA,NA,"45","6","2","4","1","1","6,7","-99","2","6","-99","1,2,4,7,8","-99","1","-99","2","2",NA,"2","2","4","4","1","5","4","3","3","3","1","3","5","4","6","2","2,3,5","-99","1,2,9","Graue Energie","-99","Qual2380-2904Switz","5ce42638-854f-288c-671e-5007e5396dfc","H",NA,NA,"$e[ ( e://Field/gid % 1019 ) * 47 ]","True","256",NA,NA,NA,"1",NA,NA,NA,NA,"Unknown",NA,NA,NA,NA
